"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4664","Supprimer un article spécifique","Google Chrome","2026-02-12","passed","2026-02-12","Page Panier","cart.spec.ts","",""
"","4264","Continuer ses achats","Google Chrome","2026-02-12","passed","2026-02-12","Page Panier","cart.spec.ts","",""
"","3840","Confirmation de paiement avec panier non vide","Google Chrome","2026-02-12","passed","2026-02-12","Page Checkout","checkout.spec.ts","",""
"","2355","Accès à la page checkout avec utilisateur connecté","Google Chrome","2026-02-12","passed","2026-02-12","Page Checkout","checkout.spec.ts","",""
"","2889","Exemple: Combinaison de fixtures","Google Chrome","2026-02-12","passed","2026-02-12","Exemples d'utilisation des fixtures","fixtures-examples.spec.ts","",""
"","1376","Remplir le formulaire de connexion","Google Chrome","2026-02-12","passed","2026-02-12","Tests de connexion","login.spec.ts","",""
"","3070","Remplir le formulaire de connexion","firefox","2026-02-10","passed","2026-02-10","Tests de connexion","login.spec.ts","",""
"","1926","Devrait afficher la page de checkout pour un utilisateur connecté","Google Chrome","2026-02-12","passed","2026-02-12","Checkout","checkout.spec.ts","",""
"","2334","Connexion avec des identifiants valides","Google Chrome","2026-02-12","passed","2026-02-12","Tests de connexion","login.spec.ts","",""
"","5208","Connexion avec mot de passe incorrect","firefox","2026-02-10","passed","2026-02-10","Tests de connexion","login.spec.ts","",""
"","30176","Supprimer un article spécifique","firefox","2026-02-10","broken","2026-02-10","Page Panier","cart.spec.ts","",""
"","3350","Conserver l'email après une tentative échouée","firefox","2026-02-10","passed","2026-02-10","Tests de connexion","login.spec.ts","",""
"","2325","Conserver l'email après une tentative échouée","Google Chrome","2026-02-12","passed","2026-02-12","Tests de connexion","login.spec.ts","",""
"","5826","Continuer ses achats","firefox","2026-02-10","passed","2026-02-10","Page Panier","cart.spec.ts","",""
"","3859","Exemple: Panier avec items peut être modifié","Google Chrome","2026-02-12","passed","2026-02-12","Exemples d'utilisation des fixtures","fixtures-examples.spec.ts","",""
"","4199","Afficher les éléments de la page de connexion","firefox","2026-02-10","passed","2026-02-10","Tests de connexion","login.spec.ts","",""
"","1945","Accès au checkout avec un utilisateur connecté","Google Chrome","2026-02-12","passed","2026-02-12","Checkout","checkout.spec.ts","",""
"","4932","Augmenter la quantité d'un produit","Google Chrome","2026-02-12","passed","2026-02-12","Page Panier","cart.spec.ts","",""
"","4381","Connexion avec email invalide","firefox","2026-02-10","passed","2026-02-10","Tests de connexion","login.spec.ts","",""
"","1869","Afficher les éléments de la page de connexion","Google Chrome","2026-02-12","passed","2026-02-12","Tests de connexion","login.spec.ts","",""
"","4565","Vider le panier","Google Chrome","2026-02-12","passed","2026-02-12","Page Panier","cart.spec.ts","",""
"","7188","Diminuer la quantité d'un produit","firefox","2026-02-10","passed","2026-02-10","Page Panier","cart.spec.ts","",""
"","7843","Vider le panier","firefox","2026-02-10","passed","2026-02-10","Page Panier","cart.spec.ts","",""
"","2124","Exemple: Utilisateur connecté peut voir son profil","Google Chrome","2026-02-12","passed","2026-02-12","Exemples d'utilisation des fixtures","fixtures-examples.spec.ts","",""
"","7381","Augmenter la quantité d'un produit","firefox","2026-02-10","passed","2026-02-10","Page Panier","cart.spec.ts","",""
"","1898","Connexion avec mot de passe incorrect","Google Chrome","2026-02-12","passed","2026-02-12","Tests de connexion","login.spec.ts","",""
"","4534","Connexion avec des identifiants valides","firefox","2026-02-10","passed","2026-02-10","Tests de connexion","login.spec.ts","",""
"","4636","Diminuer la quantité d'un produit","Google Chrome","2026-02-12","passed","2026-02-12","Page Panier","cart.spec.ts","",""
"","1811","Connexion avec email invalide","Google Chrome","2026-02-12","passed","2026-02-12","Tests de connexion","login.spec.ts","",""
